국가명,KTO카테고리소분류,소비금액비율(카테고리별)
일본,대학/종합병원,1.43
일본,성형외과,30.59
일본,안과,0.46
일본,약국,8.04
일본,치과,2.88
일본,피부과,53.38
일본,한약방,0.03
일본,한의학과,3.19
